Pricing group,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,2/1/2021,3/1/2021,4/1/2021,5/1/2021,6/1/2021,7/1/2021,8/1/2021,9/1/2021,10/1/2021,11/1/2021,12/1/2021,1/1/2022,2/1/2022,3/1/2022,4/1/2022,5/1/2022,6/1/2022,7/1/2022,8/1/2022,9/1/2022,10/1/2022,11/1/2022,12/1/2022
11,"0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911","0,06911"
12,"0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820","0,03820"
13,"0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092","0,04092"
14,"0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258","0,03258"
15,"0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309","0,03309"
16,"0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393","0,10393"
17,"0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823","0,08823"
18,"0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566","0,08566"
19,"0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512","0,06512"
20,"0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134","0,07134"
