Pricing group,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,2/1/2021,3/1/2021,4/1/2021,5/1/2021,6/1/2021,7/1/2021,8/1/2021,9/1/2021,10/1/2021,11/1/2021,12/1/2021,1/1/2022,2/1/2022,3/1/2022,4/1/2022,5/1/2022,6/1/2022,7/1/2022,8/1/2022,9/1/2022,10/1/2022,11/1/2022,12/1/2022
41,"0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656","0,04656"
42,"0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143","0,04143"
43,"0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914","0,03914"
44,"0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100","0,03100"
45,"0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836","0,02836"
46,"0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287","0,08287"
47,"0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281","0,07281"
48,"0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910","0,05910"
49,"0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419","0,06419"
50,"0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356","0,05356"
51,"0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301","0,05301"
52,"0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740","0,04740"
53,"0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525","0,04525"
54,"0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750","0,04750"
55,"0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225","0,04225"
56,"0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893","0,03893"
57,"0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017","0,04017"
58,"0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639","0,03639"
59,"0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049","0,03049"
60,"0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053","0,03053"
61,"0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636","0,11636"
62,"0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818","0,12818"
63,"0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270","0,08270"
64,"0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334","0,04334"
65,"0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572","0,07572"
66,"0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694","0,05694"
67,"0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402","0,06402"
68,"0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484","0,05484"
69,"0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299","0,05299"
70,"0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704","0,03704"
71,"0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238","0,05238"
72,"0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688","0,03688"
73,"0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994","0,03994"
74,"0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225","0,03225"
75,"0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620","0,02620"
76,"0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380","0,07380"
77,"0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357","0,08357"
78,"0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974","0,06974"
79,"0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159","0,06159"
80,"0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382","0,05382"
81,"0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283","0,05283"
82,"0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058","0,05058"
83,"0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659","0,03659"
84,"0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774","0,04774"
